manufacturer,device,n_sensitivity,sensitivity,n_specificity,specificity,cluster,ppv_0.1,npv_0.1,ppv_0.2,npv_0.2,ppv_0.3,npv_0.3,ppv_0.4,npv_0.4,ppv_0.5,npv_0.5,ppv_0.6,npv_0.6,ppv_0.7,npv_0.7,ppv_0.8,npv_0.8,ppv_0.9,npv_0.9
Teco Diagnostics,Scanwell SARS-CoV-2 IgM & IgG Rapid Test,30,0.9,80,0.975,1,0.7999999999999998,0.9887323943661972,0.8999999999999999,0.975,0.9391304347826086,0.9578947368421052,0.96,0.9359999999999999,0.9729729729729729,0.9069767441860466,0.9818181818181818,0.8666666666666667,0.988235294117647,0.806896551724138,0.993103448275862,0.7090909090909091,0.996923076923077,0.52
Teco Diagnostics,Scanwell SARS-CoV-2 IgM & IgG Test,30,0.9666666666666667,80,1.0,1,1.0,0.996309963099631,1.0,0.9917355371900826,1.0,0.9859154929577465,1.0,0.9782608695652174,1.0,0.9677419354838711,1.0,0.9523809523809523,1.0,0.9278350515463918,1.0,0.8823529411764706,1.0,0.7692307692307692
The Lab-19,COVID-19 IgM/IgG Antibodies Rapid Test,30,1.0,80,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Tianjin Beroni Biotechnology Co., Ltd.",SARS-COV-2 IgG/IgM Antibody Detection Kit,30,0.9,80,0.9875,1,0.8888888888888893,0.9888734353268428,0.9473684210526319,0.9753086419753086,0.968609865470852,0.9584055459272097,0.979591836734694,0.9367588932806323,0.9863013698630138,0.9080459770114944,0.9908256880733944,0.8681318681318682,0.9940828402366864,0.8088737201365188,0.9965397923875433,0.7117117117117117,0.9984591679506934,0.5231788079470198
Tianjin New Bay Bioresearch C. #1,Quik Pac II COVID-19 IgG & IgM Test,30,0.9666666666666667,80,0.975,1,0.811188811188811,0.9962157048249763,0.9062499999999999,0.9915254237288135,0.9430894308943089,0.9855595667870036,0.9626556016597511,0.9777158774373259,0.9747899159663865,0.9669421487603306,0.983050847457627,0.9512195121951219,0.9890377588306942,0.9261213720316623,0.9935760171306209,0.8796992481203008,0.997134670487106,0.7647058823529411
Top Biotech Sdn. Bhd.,Top Rapid COVID-19 Rapid Antibody IgG/IgM Test Kit,30,1.0,80,0.9,4,0.5263157894736842,1.0,0.7142857142857143,1.0,0.8108108108108107,1.0,0.8695652173913043,1.0,0.9090909090909091,1.0,0.9375,1.0,0.958904109589041,1.0,0.975609756097561,1.0,0.989010989010989,1.0
"United Biomedical, Inc.",SARS-COV-2 ELISA,60,0.8833333333333333,160,1.0,1,1.0,0.9872029250457038,1.0,0.9716599190283401,1.0,0.9523809523809523,1.0,0.9278350515463918,1.0,0.8955223880597015,1.0,0.851063829787234,1.0,0.7860262008733625,1.0,0.6818181818181817,1.0,0.48780487804878037
Vincitek LLC,Vincitek S2-AB Test Card,30,0.8333333333333334,80,1.0,3,1.0,0.9818181818181818,1.0,0.96,1.0,0.9333333333333332,1.0,0.9,1.0,0.8571428571428572,1.0,0.8,1.0,0.7200000000000001,1.0,0.6,1.0,0.4
"W.H.P.M, Inc.",Covisure Covid-19 IgM/IgG Rapid Test,30,0.7666666666666667,80,0.95,3,0.6301369863013697,0.9734345351043644,0.793103448275862,0.9421487603305786,0.8679245283018868,0.9047619047619048,0.9108910891089108,0.8592964824120602,0.9387755102040816,0.8028169014084509,0.9583333333333333,0.7307692307692307,0.972809667673716,0.6356877323420076,0.9839572192513368,0.504424778761062,0.9928057553956835,0.31147540983606553
Wondfo,SARS-CoV-2 Antibody Test (Lateral Flow Method),30,1.0,80,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wuhan Easy Diagnosis Biomedicine Co. Ltd.,COVID-19 (SARS-CoV-2) IgM/IgG Antibody Test Kit,30,1.0,80,0.875,4,0.47058823529411764,1.0,0.6666666666666666,1.0,0.7741935483870969,1.0,0.8421052631578947,1.0,0.8888888888888888,1.0,0.923076923076923,1.0,0.9491525423728814,1.0,0.9696969696969697,1.0,0.9863013698630138,1.0
"Xiamen AmonMed Biotechnology Co., Ltd",COVID-19 IgM/IgG Test Kit (colloidal gold),30,0.9333333333333333,80,0.9875,1,0.8924302788844626,0.9925546765937645,0.9491525423728816,0.9834024896265561,0.9696969696969697,0.9718804920913884,0.9803063457330417,0.9569313593539704,0.986784140969163,0.9367588932806324,0.9911504424778761,0.9080459770114943,0.9942929613189601,0.8639125151883355,0.9966629588431591,0.787375415282392,0.9985141158989599,0.6220472440944882
"Xiamen Biotime Biotechnology Co., Ltd.",Biotime SARS-CoV-2 IgG/IgM Rapid Qualitative Test,30,1.0,80,0.9625,1,0.7476635514018694,1.0,0.8695652173913044,1.0,0.9195402298850575,1.0,0.9467455621301776,1.0,0.9638554216867469,1.0,0.975609756097561,1.0,0.984182776801406,1.0,0.9907120743034057,1.0,0.995850622406639,1.0
"ZEUS Scientific, Inc.",ZEUS SARS-CoV-2 IgM/IgG Lateral Flow Immunoassay,30,1.0,80,0.9,4,0.5263157894736842,1.0,0.7142857142857143,1.0,0.8108108108108107,1.0,0.8695652173913043,1.0,0.9090909090909091,1.0,0.9375,1.0,0.958904109589041,1.0,0.975609756097561,1.0,0.989010989010989,1.0
"Zeus Scientific, Inc.",SARS-CoV-2 IgG Test System,30,0.9333333333333333,80,0.975,1,0.8057553956834531,0.9924599434495758,0.9032258064516129,0.9831932773109244,0.9411764705882353,0.9715302491103203,0.9613733905579399,0.9564032697547684,0.9739130434782608,0.9360000000000002,0.9824561403508771,0.9069767441860466,0.9886506935687263,0.8624078624078625,0.9933481152993348,0.785234899328859,0.9970326409495549,0.619047619047619
"Zeus Scientific, Inc.",Zeus ELISA SARS-CoV-2 Total Antibody Test System,30,0.9333333333333333,80,0.9875,1,0.8924302788844626,0.9925546765937645,0.9491525423728816,0.9834024896265561,0.9696969696969697,0.9718804920913884,0.9803063457330417,0.9569313593539704,0.986784140969163,0.9367588932806324,0.9911504424778761,0.9080459770114943,0.9942929613189601,0.8639125151883355,0.9966629588431591,0.787375415282392,0.9985141158989599,0.6220472440944882
